id,task_id,test_attempt_id,answer,datetime_started,time_spent
63,21,29,D,08.03.2024 2:35:23,903
64,22,29,A,08.03.2024 2:50:26,695
65,23,29,A,08.03.2024 3:02:01,363
66,24,29,A,08.03.2024 3:08:04,390
67,25,29,D,08.03.2024 3:14:34,787
68,26,29,A,08.03.2024 3:27:41,454
69,27,29,D,08.03.2024 3:35:15,722
70,1,21,D,08.03.2024 18:32:49,77
71,2,21,A,08.03.2024 18:34:06,636
72,3,21,B,08.03.2024 18:44:42,491
73,4,21,A,08.03.2024 18:52:53,498
74,5,21,B,08.03.2024 19:01:11,332
75,6,21,B,08.03.2024 19:06:43,655
76,7,21,B,08.03.2024 19:17:38,663
77,8,21,C,08.03.2024 19:28:41,816
78,9,21,B,08.03.2024 19:42:17,747
79,10,21,C,08.03.2024 19:54:44,621
80,11,21,D,08.03.2024 20:05:05,570
81,12,21,D,08.03.2024 20:14:35,66
82,13,21,C,08.03.2024 20:15:41,131
83,14,21,D,08.03.2024 20:17:52,868
84,15,21,C,08.03.2024 20:32:20,164
85,16,21,B,08.03.2024 20:35:04,819
86,17,21,D,08.03.2024 20:48:43,388
87,18,21,A,08.03.2024 20:55:11,155
88,19,21,B,08.03.2024 20:57:46,455
89,20,21,C,08.03.2024 21:05:21,463
90,21,21,B,08.03.2024 21:13:04,153
91,22,21,B,08.03.2024 21:15:37,547
92,23,21,B,08.03.2024 21:24:44,700
93,24,21,C,08.03.2024 21:36:24,461
94,25,21,B,08.03.2024 21:44:05,860
95,26,21,D,08.03.2024 21:58:25,550
96,27,21,C,08.03.2024 22:07:35,691
97,1,22,B,10.03.2024 23:11:29,187
98,2,22,A,10.03.2024 23:14:36,842
99,3,22,B,10.03.2024 23:28:38,411
100,4,22,A,10.03.2024 23:35:29,706
101,5,22,B,10.03.2024 23:47:15,501
102,6,22,C,10.03.2024 23:55:36,469
103,7,22,C,11.03.2024 0:03:25,176
104,8,22,D,11.03.2024 0:06:21,661
105,9,22,B,11.03.2024 0:17:22,260
106,10,22,B,11.03.2024 0:21:42,506
107,11,22,B,11.03.2024 0:30:08,419
108,12,22,D,11.03.2024 0:37:07,573
109,13,22,A,11.03.2024 0:46:40,714
110,14,22,B,11.03.2024 0:58:34,534
111,15,22,C,11.03.2024 1:07:28,664
112,16,22,B,11.03.2024 1:18:32,739
113,17,22,A,11.03.2024 1:30:51,597
114,1,147,C,11.03.2024 1:39:35,52
115,2,147,D,11.03.2024 1:40:27,453
116,18,22,D,11.03.2024 1:40:48,301
117,19,22,C,11.03.2024 1:45:49,819
118,3,147,B,11.03.2024 1:48:00,720
119,20,22,C,11.03.2024 1:59:28,967
120,4,147,A,11.03.2024 2:00:00,126
121,5,147,A,11.03.2024 2:02:06,551
122,6,147,A,11.03.2024 2:11:17,945
123,21,22,B,11.03.2024 2:15:35,988
124,7,147,A,11.03.2024 2:27:02,140
125,8,147,B,11.03.2024 2:29:22,744
126,22,22,B,11.03.2024 2:32:03,60
127,23,22,B,11.03.2024 2:33:03,306
128,24,22,C,11.03.2024 2:38:09,242
129,9,147,C,11.03.2024 2:41:46,446
130,25,22,C,11.03.2024 2:42:11,373
131,26,22,C,11.03.2024 2:48:24,141
132,10,147,B,11.03.2024 2:49:12,833
133,27,22,A,11.03.2024 2:50:45,334
134,11,147,D,11.03.2024 3:03:05,312
135,12,147,D,11.03.2024 3:08:17,72
136,13,147,B,11.03.2024 3:09:29,827
137,14,147,D,11.03.2024 3:23:16,619
138,15,147,D,11.03.2024 3:33:35,30
139,16,147,A,11.03.2024 3:34:05,320
140,17,147,A,11.03.2024 3:39:25,322
141,18,147,D,11.03.2024 3:44:47,128
142,19,147,D,11.03.2024 3:46:55,613
143,20,147,A,11.03.2024 3:57:08,709
144,21,147,B,11.03.2024 4:08:57,567
145,22,147,B,11.03.2024 4:18:24,553
146,23,147,A,11.03.2024 4:27:37,410
147,24,147,C,11.03.2024 4:34:27,112
148,25,147,C,11.03.2024 4:36:19,886
149,26,147,A,11.03.2024 4:51:05,650
150,27,147,C,11.03.2024 5:01:55,947
151,1,24,B,11.03.2024 7:17:39,978
152,2,24,D,11.03.2024 7:33:57,425
153,3,24,D,11.03.2024 7:41:02,217
154,4,24,C,11.03.2024 7:44:39,94
155,5,24,A,11.03.2024 7:46:13,145
156,6,24,B,11.03.2024 7:48:38,286
157,7,24,A,11.03.2024 7:53:24,967
158,8,24,A,11.03.2024 8:09:31,390
159,9,24,D,11.03.2024 8:16:01,235
160,10,24,A,11.03.2024 8:19:56,289
161,11,24,A,11.03.2024 8:24:45,686
162,12,24,A,11.03.2024 8:36:11,250
163,13,24,B,11.03.2024 8:40:21,381
164,14,24,A,11.03.2024 8:46:42,778
165,15,24,D,11.03.2024 8:59:40,448
166,16,24,B,11.03.2024 9:07:08,240
167,17,24,B,11.03.2024 9:11:08,668
168,18,24,D,11.03.2024 9:22:16,191
169,19,24,A,11.03.2024 9:25:27,36
170,20,24,A,11.03.2024 9:26:03,990
171,21,24,D,11.03.2024 9:42:33,504
172,22,24,D,11.03.2024 9:50:57,809
173,23,24,A,11.03.2024 10:04:26,312
174,24,24,A,11.03.2024 10:09:38,242
175,25,24,B,11.03.2024 10:13:40,529
176,26,24,D,11.03.2024 10:22:29,404
177,27,24,A,11.03.2024 10:29:13,360
178,1,23,B,11.03.2024 11:44:42,556
179,2,23,B,11.03.2024 11:53:58,785
180,3,23,C,11.03.2024 12:07:03,399
181,4,23,B,11.03.2024 12:13:42,628
182,5,23,B,11.03.2024 12:24:10,620
183,6,23,B,11.03.2024 12:34:30,790
184,7,23,C,11.03.2024 12:47:40,811
185,8,23,D,11.03.2024 13:01:11,817
186,9,23,B,11.03.2024 13:14:48,509
187,10,23,D,11.03.2024 13:23:17,636
188,11,23,C,11.03.2024 13:33:53,71
189,12,23,D,11.03.2024 13:35:04,72
190,13,23,A,11.03.2024 13:36:16,1000
191,14,23,D,11.03.2024 13:52:56,758
192,15,23,A,11.03.2024 14:05:34,459
193,16,23,D,11.03.2024 14:13:13,97
194,17,23,A,11.03.2024 14:14:50,395
195,18,23,B,11.03.2024 14:21:25,295
196,19,23,B,11.03.2024 14:26:20,89
197,20,23,B,11.03.2024 14:27:49,486
198,21,23,B,11.03.2024 14:35:55,640
199,22,23,A,11.03.2024 14:46:35,565
200,23,23,C,11.03.2024 14:56:00,435
201,24,23,C,11.03.2024 15:03:15,398
202,25,23,C,11.03.2024 15:09:53,886
203,26,23,B,11.03.2024 15:24:39,823
204,27,23,C,11.03.2024 15:38:22,558
205,1,27,A,11.03.2024 21:02:21,83
206,2,27,C,11.03.2024 21:03:44,600
207,3,27,D,11.03.2024 21:13:44,170
208,4,27,C,11.03.2024 21:16:34,890
209,5,27,C,11.03.2024 21:31:24,773
210,6,27,A,11.03.2024 21:44:17,706
211,7,27,A,11.03.2024 21:56:03,229
212,8,27,D,11.03.2024 21:59:52,534
213,9,27,D,11.03.2024 22:08:46,171
214,10,27,A,11.03.2024 22:11:37,829
215,11,27,C,11.03.2024 22:25:26,995
216,12,27,A,11.03.2024 22:42:01,134
217,13,27,B,11.03.2024 22:44:15,926
218,14,27,B,11.03.2024 22:59:41,420
219,15,27,B,11.03.2024 23:06:41,160
220,16,27,D,11.03.2024 23:09:21,284
221,17,27,B,11.03.2024 23:14:05,713
222,18,27,B,11.03.2024 23:25:58,110
223,19,27,B,11.03.2024 23:27:48,506
224,20,27,D,11.03.2024 23:36:14,557
225,21,27,D,11.03.2024 23:45:31,334
226,22,27,D,11.03.2024 23:51:05,984
227,23,27,C,12.03.2024 0:07:29,358
228,24,27,D,12.03.2024 0:13:27,60
229,25,27,D,12.03.2024 0:14:27,553
230,26,27,B,12.03.2024 0:23:40,749
231,27,27,B,12.03.2024 0:36:09,242
232,2,101,A,01.06.2024 13:35:17,26
233,6,101,A,01.06.2024 13:35:43,586
234,17,101,A,01.06.2024 13:45:29,353
235,27,101,C,01.06.2024 13:51:22,676
236,29,101,B,01.06.2024 14:02:38,659
237,33,101,C,01.06.2024 14:13:37,202
238,44,101,B,01.06.2024 14:16:59,983
239,54,101,D,01.06.2024 14:33:22,750
240,73,101,D,01.06.2024 14:45:52,814
241,2,115,,02.06.2024 13:19:19,
242,6,115,D,02.06.2024 13:19:19,212
243,17,115,D,02.06.2024 13:22:51,910
244,27,115,B,02.06.2024 13:38:01,40
245,29,115,C,02.06.2024 13:38:41,467
246,33,115,A,02.06.2024 13:46:28,357
247,44,115,B,02.06.2024 13:52:25,501
248,54,115,,02.06.2024 14:00:46,
249,2,223,B,03.06.2024 11:57:16,459
250,6,223,B,03.06.2024 12:04:55,294
251,17,223,B,03.06.2024 12:09:49,611
252,27,223,C,03.06.2024 12:20:00,511
253,29,223,A,03.06.2024 12:28:31,342
254,33,223,D,03.06.2024 12:34:13,742
255,44,223,B,03.06.2024 12:46:35,724
256,54,223,C,03.06.2024 12:58:39,697
257,73,223,,03.06.2024 13:10:16,
258,2,221,C,04.06.2024 2:45:42,43
259,6,221,D,04.06.2024 2:46:25,329
260,17,221,C,04.06.2024 2:51:54,686
261,27,221,D,04.06.2024 3:03:20,636
262,29,221,A,04.06.2024 3:13:56,494
263,33,221,A,04.06.2024 3:22:10,720
264,44,221,A,04.06.2024 3:34:10,355
265,54,221,A,04.06.2024 3:40:05,914
266,73,221,D,04.06.2024 3:55:19,919
267,2,227,C,04.06.2024 18:25:02,652
268,6,227,B,04.06.2024 18:35:54,444
269,17,227,C,04.06.2024 18:43:18,612
270,27,227,B,04.06.2024 18:53:30,116
271,29,227,B,04.06.2024 18:55:26,49
272,33,227,C,04.06.2024 18:56:15,941
273,44,227,C,04.06.2024 19:11:56,213
274,54,227,C,04.06.2024 19:15:29,147
275,73,227,A,04.06.2024 19:17:56,109
276,2,117,B,04.06.2024 23:00:20,831
277,6,117,D,04.06.2024 23:14:11,117
278,17,117,D,04.06.2024 23:16:08,380
279,27,117,B,04.06.2024 23:22:28,547
280,29,117,D,04.06.2024 23:31:35,192
281,33,117,D,04.06.2024 23:34:47,611
282,44,117,A,04.06.2024 23:44:58,200
283,54,117,A,04.06.2024 23:48:18,555
284,73,117,,04.06.2024 23:57:33,
285,2,105,D,05.06.2024 7:18:29,714
286,6,105,A,05.06.2024 7:30:23,548
287,17,105,B,05.06.2024 7:39:31,250
288,27,105,B,05.06.2024 7:43:41,515
289,29,105,A,05.06.2024 7:52:16,942
290,33,105,A,05.06.2024 8:07:58,943
291,44,105,D,05.06.2024 8:23:41,746
292,54,105,B,05.06.2024 8:36:07,110
293,73,105,C,05.06.2024 8:37:57,339
294,2,225,,05.06.2024 23:30:16,
295,6,225,B,05.06.2024 23:30:16,142
296,17,225,D,05.06.2024 23:32:38,541
297,27,225,C,05.06.2024 23:41:39,83
298,29,225,A,05.06.2024 23:43:02,365
299,33,225,D,05.06.2024 23:49:07,263
300,44,225,C,05.06.2024 23:53:30,316
301,54,225,,05.06.2024 23:58:46,
302,2,107,D,06.06.2024 2:59:24,315
303,6,107,D,06.06.2024 3:04:39,741
304,17,107,C,06.06.2024 3:17:00,765
305,27,107,C,06.06.2024 3:29:45,569
306,29,107,B,06.06.2024 3:39:14,438
307,33,107,B,06.06.2024 3:46:32,857
308,44,107,C,06.06.2024 4:00:49,990
309,54,107,D,06.06.2024 4:17:19,97
310,73,107,B,06.06.2024 4:18:56,980
311,2,219,A,06.06.2024 10:21:53,524
312,6,219,C,06.06.2024 10:30:37,324
313,17,219,C,06.06.2024 10:36:01,219
314,27,219,A,06.06.2024 10:39:40,615
315,29,219,C,06.06.2024 10:49:55,306
316,33,219,A,06.06.2024 10:55:01,640
317,44,219,A,06.06.2024 11:05:41,613
318,54,219,D,06.06.2024 11:15:54,471
319,73,219,B,06.06.2024 11:23:45,170
320,2,113,D,06.06.2024 21:13:33,291
321,6,113,C,06.06.2024 21:18:24,247
322,17,113,B,06.06.2024 21:22:31,121
323,27,113,A,06.06.2024 21:24:32,422
324,29,113,D,06.06.2024 21:31:34,413
325,33,113,D,06.06.2024 21:38:27,582
326,44,113,C,06.06.2024 21:48:09,240
327,54,113,C,06.06.2024 21:52:09,667
328,73,113,C,06.06.2024 22:03:16,279
329,2,109,D,07.06.2024 16:06:19,939
330,6,109,D,07.06.2024 16:21:58,483
331,17,109,D,07.06.2024 16:30:01,880
332,27,109,D,07.06.2024 16:44:41,550
333,29,109,C,07.06.2024 16:53:51,120
334,33,109,,07.06.2024 16:55:51,
335,2,233,A,07.06.2024 20:19:54,703
336,6,233,D,07.06.2024 20:31:37,503
337,17,233,A,07.06.2024 20:40:00,1000
338,27,233,A,07.06.2024 20:56:40,42
339,29,233,B,07.06.2024 20:57:22,716
340,33,233,B,07.06.2024 21:09:18,415
341,44,233,B,07.06.2024 21:16:13,933
342,54,233,A,07.06.2024 21:31:46,180
343,73,233,A,07.06.2024 21:34:46,216
344,9,127,A,21.06.2024 11:13:32,153
345,20,127,A,21.06.2024 11:16:05,162
346,23,127,A,21.06.2024 11:18:47,384
347,36,127,B,21.06.2024 11:25:11,781
348,47,127,C,21.06.2024 11:38:12,325
349,50,127,B,21.06.2024 11:43:37,475
350,55,127,,21.06.2024 11:51:32,
351,9,133,B,21.06.2024 12:20:52,508
352,20,133,B,21.06.2024 12:29:20,396
353,23,133,C,21.06.2024 12:35:56,203
354,36,133,D,21.06.2024 12:39:19,690
355,47,133,C,21.06.2024 12:50:49,633
356,50,133,D,21.06.2024 13:01:22,624
357,55,133,C,21.06.2024 13:11:46,597
358,63,133,B,21.06.2024 13:21:43,452
359,9,11,D,22.06.2024 6:01:21,502
360,20,11,A,22.06.2024 6:09:43,556
361,23,11,B,22.06.2024 6:18:59,601
362,36,11,C,22.06.2024 6:29:00,346
363,47,11,,22.06.2024 6:34:46,
364,9,3,A,22.06.2024 7:42:26,364
365,20,3,A,22.06.2024 7:48:30,784
366,23,3,C,22.06.2024 8:01:34,305
367,36,3,A,22.06.2024 8:06:39,825
368,47,3,C,22.06.2024 8:20:24,858
369,50,3,C,22.06.2024 8:34:42,656
370,55,3,B,22.06.2024 8:45:38,73
371,63,3,A,22.06.2024 8:46:51,702
372,9,121,B,23.06.2024 0:49:18,896
373,20,121,D,23.06.2024 1:04:14,762
374,23,121,A,23.06.2024 1:16:56,270
375,36,121,B,23.06.2024 1:21:26,682
376,47,121,,23.06.2024 1:32:48,
377,9,15,C,23.06.2024 1:48:07,51
378,20,15,B,23.06.2024 1:48:58,192
379,23,15,B,23.06.2024 1:52:10,348
380,36,15,A,23.06.2024 1:57:58,259
381,47,15,C,23.06.2024 2:02:17,909
382,50,15,,23.06.2024 2:17:26,
383,9,17,,23.06.2024 18:11:45,
384,20,17,C,23.06.2024 18:11:45,676
385,23,17,B,23.06.2024 18:23:01,82
386,36,17,D,23.06.2024 18:24:23,246
387,47,17,,23.06.2024 18:28:29,
388,9,119,D,24.06.2024 1:20:38,875
389,20,119,D,24.06.2024 1:35:13,14
390,23,119,C,24.06.2024 1:35:27,411
391,36,119,A,24.06.2024 1:42:18,447
392,47,119,C,24.06.2024 1:49:45,355
393,50,119,,24.06.2024 1:55:40,
394,9,123,A,24.06.2024 12:34:34,437
395,20,123,,24.06.2024 12:41:51,
396,9,1,A,24.06.2024 13:25:31,808
397,20,1,A,24.06.2024 13:38:59,563
398,23,1,B,24.06.2024 13:48:22,961
399,36,1,B,24.06.2024 14:04:23,968
400,47,1,B,24.06.2024 14:20:31,34
401,50,1,C,24.06.2024 14:21:05,67
402,55,1,C,24.06.2024 14:22:12,833
403,63,1,B,24.06.2024 14:36:05,253
404,9,13,C,25.06.2024 6:23:42,353
405,20,13,B,25.06.2024 6:29:35,401
406,23,13,D,25.06.2024 6:36:16,169
407,36,13,D,25.06.2024 6:39:05,300
408,47,13,A,25.06.2024 6:44:05,236
409,50,13,C,25.06.2024 6:48:01,530
410,55,13,D,25.06.2024 6:56:51,430
411,63,13,A,25.06.2024 7:04:01,747
412,9,19,D,26.06.2024 2:13:28,476
413,20,19,A,26.06.2024 2:21:24,964
414,23,19,D,26.06.2024 2:37:28,68
415,36,19,,26.06.2024 2:38:36,
416,9,125,A,26.06.2024 18:32:30,272
417,20,125,A,26.06.2024 18:37:02,130
418,23,125,B,26.06.2024 18:39:12,600
419,36,125,A,26.06.2024 18:49:12,338
420,47,125,B,26.06.2024 18:54:50,667
421,50,125,C,26.06.2024 19:05:57,302
422,55,125,A,26.06.2024 19:10:59,725
423,63,125,C,26.06.2024 19:23:04,849
424,9,129,A,27.06.2024 17:32:52,53
425,20,129,D,27.06.2024 17:33:45,184
426,23,129,D,27.06.2024 17:36:49,140
427,36,129,C,27.06.2024 17:39:09,401
428,47,129,D,27.06.2024 17:45:50,275
429,50,129,B,27.06.2024 17:50:25,209
430,55,129,A,27.06.2024 17:53:54,726
431,63,129,A,27.06.2024 18:06:00,900
432,9,7,D,27.06.2024 19:08:58,498
433,20,7,B,27.06.2024 19:17:16,207
434,23,7,A,27.06.2024 19:20:43,308
435,36,7,A,27.06.2024 19:25:51,734
436,47,7,B,27.06.2024 19:38:05,151
437,50,7,A,27.06.2024 19:40:36,548
438,55,7,C,27.06.2024 19:49:44,601
439,63,7,B,27.06.2024 19:59:45,482
440,9,5,B,28.06.2024 3:08:49,806
441,20,5,D,28.06.2024 3:22:15,350
442,23,5,A,28.06.2024 3:28:05,848
443,36,5,D,28.06.2024 3:42:13,508
444,47,5,B,28.06.2024 3:50:41,934
445,50,5,C,28.06.2024 4:06:15,814
446,55,5,D,28.06.2024 4:19:49,748
447,63,5,A,28.06.2024 4:32:17,251
448,9,9,B,28.06.2024 7:44:44,998
449,20,9,D,28.06.2024 8:01:22,131
450,23,9,A,28.06.2024 8:03:33,162
451,36,9,A,28.06.2024 8:06:15,942
452,47,9,B,28.06.2024 8:21:57,438
453,50,9,B,28.06.2024 8:29:15,401
454,55,9,B,28.06.2024 8:35:56,528
455,63,9,B,28.06.2024 8:44:44,817
456,26,213,B,25.04.2025 22:15:22,906
457,53,213,C,25.04.2025 22:30:28,929
458,59,213,D,25.04.2025 22:45:57,887
459,64,213,B,25.04.2025 23:00:44,160
460,69,213,D,25.04.2025 23:03:24,926
461,78,213,C,25.04.2025 23:18:50,59
462,80,213,C,25.04.2025 23:19:49,482
463,85,213,D,25.04.2025 23:27:51,10
464,86,213,C,25.04.2025 23:28:01,480
465,88,213,A,25.04.2025 23:36:01,218
466,90,213,D,25.04.2025 23:39:39,769
467,91,213,A,25.04.2025 23:52:28,735
468,94,213,B,26.04.2025 0:04:43,828
469,95,213,A,26.04.2025 0:18:31,952
470,96,213,B,26.04.2025 0:34:23,579
471,99,213,B,26.04.2025 0:44:02,910
472,100,213,A,26.04.2025 0:59:12,274
473,102,213,D,26.04.2025 1:03:46,237
474,104,213,B,26.04.2025 1:07:43,102
475,105,213,C,26.04.2025 1:09:25,42
476,106,213,B,26.04.2025 1:10:07,33
477,108,213,B,26.04.2025 1:10:40,503
478,26,217,A,27.04.2025 5:45:45,234
479,53,217,C,27.04.2025 5:49:39,980
480,59,217,,27.04.2025 6:05:59,
481,26,214,C,27.04.2025 6:12:06,263
482,53,214,D,27.04.2025 6:16:29,660
483,59,214,A,27.04.2025 6:27:29,71
484,64,214,A,27.04.2025 6:28:40,355
485,69,214,D,27.04.2025 6:34:35,752
486,78,214,A,27.04.2025 6:47:07,657
487,80,214,A,27.04.2025 6:58:04,711
488,85,214,C,27.04.2025 7:09:55,602
489,86,214,D,27.04.2025 7:19:57,37
490,88,214,A,27.04.2025 7:20:34,893
491,90,214,B,27.04.2025 7:35:27,856
492,91,214,B,27.04.2025 7:49:43,824
493,94,214,C,27.04.2025 8:03:27,924
494,95,214,B,27.04.2025 8:18:51,63
495,96,214,B,27.04.2025 8:19:54,483
496,99,214,B,27.04.2025 8:27:57,128
497,100,214,D,27.04.2025 8:30:05,155
498,102,214,,27.04.2025 8:32:40,
499,26,93,D,28.04.2025 17:05:05,272
500,53,93,D,28.04.2025 17:09:37,237
501,59,93,D,28.04.2025 17:13:34,466
502,64,93,D,28.04.2025 17:21:20,454
503,69,93,D,28.04.2025 17:28:54,658
504,78,93,A,28.04.2025 17:39:52,295
505,80,93,A,28.04.2025 17:44:47,724
506,85,93,A,28.04.2025 17:56:51,493
507,86,93,A,28.04.2025 18:05:04,688
508,88,93,B,28.04.2025 18:16:32,906
509,90,93,A,28.04.2025 18:31:38,840
510,91,93,C,28.04.2025 18:45:38,863
511,94,93,B,28.04.2025 19:00:01,754
512,95,93,C,28.04.2025 19:12:35,94
513,96,93,B,28.04.2025 19:14:09,37
514,99,93,C,28.04.2025 19:14:46,266
515,100,93,C,28.04.2025 19:19:12,254
516,102,93,A,28.04.2025 19:23:26,985
517,104,93,A,28.04.2025 19:39:51,118
518,105,93,C,28.04.2025 19:41:49,615
519,106,93,,28.04.2025 19:52:04,
520,26,210,A,29.04.2025 0:37:02,813
521,53,210,A,29.04.2025 0:50:35,215
522,59,210,B,29.04.2025 0:54:10,493
523,64,210,A,29.04.2025 1:02:23,813
524,69,210,B,29.04.2025 1:15:56,528
525,78,210,C,29.04.2025 1:24:44,954
526,80,210,A,29.04.2025 1:40:38,615
527,85,210,C,29.04.2025 1:50:53,50
528,86,210,A,29.04.2025 1:51:43,71
529,88,210,B,29.04.2025 1:52:54,244
530,90,210,A,29.04.2025 1:56:58,466
531,91,210,B,29.04.2025 2:04:44,442
532,94,210,D,29.04.2025 2:12:06,299
533,95,210,C,29.04.2025 2:17:05,463
534,96,210,D,29.04.2025 2:24:48,238
535,99,210,A,29.04.2025 2:28:46,607
536,100,210,A,29.04.2025 2:38:53,836
537,102,210,A,29.04.2025 2:52:49,574
538,104,210,D,29.04.2025 3:02:23,514
539,105,210,D,29.04.2025 3:10:57,638
540,106,210,C,29.04.2025 3:21:35,70
541,108,210,B,29.04.2025 3:22:45,862
542,26,94,A,30.04.2025 1:36:30,243
543,53,94,B,30.04.2025 1:40:33,663
544,59,94,A,30.04.2025 1:51:36,663
545,64,94,C,30.04.2025 2:02:39,556
546,69,94,B,30.04.2025 2:11:55,885
547,78,94,C,30.04.2025 2:26:40,387
548,80,94,B,30.04.2025 2:33:07,16
549,85,94,C,30.04.2025 2:33:23,277
550,86,94,D,30.04.2025 2:38:00,330
551,88,94,D,30.04.2025 2:43:30,141
552,90,94,B,30.04.2025 2:45:51,198
553,91,94,C,30.04.2025 2:49:09,571
554,94,94,D,30.04.2025 2:58:40,602
555,95,94,C,30.04.2025 3:08:42,266
556,26,92,D,30.04.2025 3:08:48,266
557,96,94,D,30.04.2025 3:13:08,686
558,53,92,D,30.04.2025 3:13:14,664
559,59,92,A,30.04.2025 3:24:18,354
560,99,94,B,30.04.2025 3:24:34,245
561,100,94,B,30.04.2025 3:28:39,579
562,64,92,A,30.04.2025 3:30:12,565
563,102,94,A,30.04.2025 3:38:18,999
564,69,92,C,30.04.2025 3:39:37,761
565,78,92,A,30.04.2025 3:52:18,519
566,104,94,C,30.04.2025 3:54:57,666
567,80,92,C,30.04.2025 4:00:57,953
568,105,94,A,30.04.2025 4:06:03,827
569,85,92,D,30.04.2025 4:16:50,494
570,106,94,C,30.04.2025 4:19:50,627
571,86,92,D,30.04.2025 4:25:04,735
572,108,94,D,30.04.2025 4:30:17,131
573,88,92,C,30.04.2025 4:37:19,167
574,90,92,A,30.04.2025 4:40:06,569
575,91,92,D,30.04.2025 4:49:35,361
576,94,92,D,30.04.2025 4:55:36,786
577,95,92,C,30.04.2025 5:08:42,67
578,96,92,C,30.04.2025 5:09:49,191
579,99,92,B,30.04.2025 5:13:00,924
580,100,92,A,30.04.2025 5:28:24,165
581,102,92,A,30.04.2025 5:31:09,866
582,104,92,C,30.04.2025 5:45:35,96
583,105,92,D,30.04.2025 5:47:11,66
584,106,92,C,30.04.2025 5:48:17,71
585,108,92,A,30.04.2025 5:49:28,335
586,26,100,C,30.04.2025 8:37:08,852
587,53,100,A,30.04.2025 8:51:20,843
588,59,100,C,30.04.2025 9:05:23,58
589,64,100,A,30.04.2025 9:06:21,648
590,69,100,A,30.04.2025 9:17:09,349
591,78,100,D,30.04.2025 9:22:58,241
592,80,100,B,30.04.2025 9:26:59,306
593,85,100,D,30.04.2025 9:32:05,51
594,86,100,,30.04.2025 9:32:56,
595,26,98,A,01.05.2025 4:15:59,950
596,53,98,A,01.05.2025 4:31:49,761
597,59,98,D,01.05.2025 4:44:30,945
598,64,98,D,01.05.2025 5:00:15,84
599,69,98,B,01.05.2025 5:01:39,753
600,78,98,C,01.05.2025 5:14:12,134
601,80,98,C,01.05.2025 5:16:26,34
602,85,98,D,01.05.2025 5:17:00,97
603,86,98,D,01.05.2025 5:18:37,225
604,88,98,C,01.05.2025 5:22:22,159
605,90,98,C,01.05.2025 5:25:01,423
606,91,98,C,01.05.2025 5:32:04,323
607,94,98,A,01.05.2025 5:37:27,256
608,95,98,A,01.05.2025 5:41:43,751
